TYPE,START DATE,END DATE,USAGE,UNITS,COST,NOTES
Electric billing,2012-07-09,2012-08-06,811.78,kWh,$164.62,
Electric billing,2012-08-07,2012-09-05,778.18,kWh,$117.15,
Electric billing,2012-09-06,2012-10-04,500.86,kWh,$72.82,
Electric billing,2012-10-05,2012-11-04,356.82,kWh,$48.22,
Electric billing,2012-11-05,2012-12-05,338.95,kWh,$45.82,
Electric billing,2012-12-06,2013-01-06,420.23,kWh,$57.85,
Electric billing,2013-01-07,2013-02-05,388.59,kWh,$54.64,
Electric billing,2013-02-06,2013-03-07,326.15,kWh,$45.40,
Electric billing,2013-03-08,2013-04-07,351.38,kWh,$48.91,
Electric billing,2013-04-08,2013-05-07,312.79,kWh,$43.55,
Electric billing,2013-05-08,2013-06-06,451.65,kWh,$57.94,
Electric billing,2013-06-07,2013-07-08,941.42,kWh,$215.59,
Electric billing,2013-07-09,2013-08-06,822.43,kWh,$150.21,
Electric billing,2013-08-07,2013-09-05,644.19,kWh,$89.13,
Electric billing,2013-09-06,2013-10-06,496.27,kWh,$75.52,
Electric billing,2013-10-07,2013-11-04,325.75,kWh,$45.36,
Electric billing,2013-11-05,2013-12-05,420.78,kWh,$59.51,
Electric billing,2013-12-06,2014-01-06,617.63,kWh,$113.35,
Electric billing,2014-01-07,2014-02-05,372.70,kWh,$52.13,
Electric billing,2014-02-06,2014-03-09,401.69,kWh,$56.73,
Electric billing,2014-03-10,2014-04-07,330.00,kWh,$47.32,
Electric billing,2014-04-08,2014-05-07,381.06,kWh,$54.94,
Electric billing,2014-05-08,2014-06-08,706.32,kWh,$120.95,
Electric billing,2014-06-09,2014-07-08,632.84,kWh,$99.22,
Electric billing,2014-07-09,2014-08-07,816.23,kWh,$186.20,
Electric billing,2014-08-08,2014-09-08,565.15,kWh,$72.69,
Electric billing,2014-09-09,2014-10-07,483.81,kWh,$77.25,
Electric billing,2014-10-08,2014-11-05,384.44,kWh,$61.90,
Electric billing,2014-11-06,2014-12-07,399.61,kWh,$65.29,
